,position,company_name,description,requirement,preferred,like
40,백엔드(Java) 개발자,씨제이대한통운(CJ대한통운),"• 운송플랫폼 서비스 구축을 위한 백엔드 개발 업무
• 핵심 알고리즘 인터페이스를 위한 API 개발 업무","[경력사항]
• 백엔드 개발 경험 7년 이상

[필요역량]
• Java 기반 서버 개발 경력 3년 이상
• Spring Framework (boot, batch, JPA 등) 기반 웹서비스 개발 경험
• RESTful API 에 대한 깊은 이해 및 개발 경험
• PostgreSQL 또는 유사 RDBMS DB 모델링","• AWS, GCP 클라우드 및 K8S 사용 경험
• Message Broker (Kafka 등), Memory DB (Redis 등) 사용 경험
• MSA 기반 서비스 개발 경험
• GoLang 및 GRPC 개발 경험
• 모빌리티 / 물류 도메인 개발 경험",10
41,[100억↑투자] 웹서비스 백엔드 개발자 (3년 이상),핸디즈,"# 이런 경험을 할 수 있어요.


## 어반스테이 게스트를 위한 앱/웹 서비스 개발 및 운영
- 숙박 예약과 결제
- 투숙객을 위한 편의기능


## PMS(Property Managment System)을 개발 및 운영
- 지점, 객실, 상품, 재고 관리
- 예약, 고객관리
- 도어락 등 IoT 시스템 컨트롤
- 에어비엔비, 야놀자 등 각종 CMS 시스템 연동
- 각종 통계 및 지표 대시보드


## 어반스테이 소유주를 위한 웹 서비스 개발 및 운영
- 소유주 예약
- 소유주를 위한 편의기능
- 소유주 정산 및 지표 대시보드","# 우리는 이런 기술을 사용하고 있어요.
- Spring Boot, Kotlin, Java, Python
- MyBatis, MySQL
- AWS, Docker


# 이런 분을 찾고 있어요.
- 개발 경력 3년 이상 혹은 그에 준하는 실력을 갖추신 분
- 하나 이상의 프로그래밍 언어와 프레임워크에 능숙하신 분
- 레거시와 신기술의 장단점을 객관적으로 비교할 수 있는 분
- 개발팀 동료들과 의사소통에 어려움이 없으신 분
- 주도적으로 문제를 해결하고 이를 명확하게 공유할 수 있는 분
- 기술적 성장에 적극적이고 개발을 즐기는 분","# 이런 분이면 더 좋을 것 같아요.
- Jira/Slack/Zeplin/Notion 등 협업도구에 익숙하신 분
- 숙박시설 예약 서비스 및 관리 시스템 개발을 경험 하신 분
- Airbnb/Zendesk 등 Saas/ThirdParty 서비스 연동을 경험 하신 분
- 느린성능과 반복되는 작업 등 불편함을 개선하기 위해 늘 고민하고 개선하기 위해 행동하시는 분",0
42,백엔드 개발자(Back-End Developer),부동산플래닛,"- 부동산플래닛 웹/앱 애플리케이션 개발
- 사내/대외 서비스 시스템 설계, 개발 및 유지보수

- 서류전형 → 1차면접 → 2차면접 → 최종합격
- 해당 공고는 수시 채용으로, 채용 완료 시 조기 마감될 수 있습니다
- 여러분의 소중한 지원서는 수시 검토되며, 서류전형 합격자에 한해 개별로 안내 드립니다.
- 지원부문, 경력, 기타 상황에 따라 화상면접, 추가면접, 레퍼런스 체크 등이 진행될 수 있습니다.
- 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
- 채용 관련 문의는 recruit@ytp.co.kr 로 보내주시기 바랍니다.","- 백엔드 개발 경력 2년 이상
- Java, Springboot를 이용한 Web Application 개발 경험자
- MVC, RESTful API 개발 경험자
- RDBMS 설계, NoSql 경험자

※ 개발환경
- 사용언어: Java
- 주요 라이브러리: Spring framework, mybatis
- 업무도구: Git, vscode, intellij 등","- Full-stack 개발자를 지향하는 분
- Springboot, MSA, JPA 등 트렌디한 개발 경험자
- Git를 활용한 업무 관리 및 협업 경험자
- 문제에 대한 원인파악과 분석력
- 비개발 직무 실무자와의 원활한 커뮤니케이션 보유자
- 프롭테크 개발 경험이 있거나 신사업에 큰 관심을 가지신 분
- 부동산 서비스 유경험자",19
43,웹 백엔드 개발자 (여행 플랫폼),셀바스에이아이,"• 업무: 여행 플랫폼 및 서비스 개발

• 채용 전형 절차: 서류 전형 -＞ 면접 전형(사전 인적성 검사 실시) -＞ 최종 합격
   *면접 전형은 각 직무별로 1차 또는 2차까지 진행될 수 있습니다.","• RDBMS 데이터 모델링 경험 및 SQL 작성이 능숙하신 분
• Java Spring Framework 기반 웹 서비스 백엔드 개발 실무를 4년 이상 경험하신 분
• JPA 등 웹 서비스를 경험하신 분","• RESTful API 설계가 가능하신 분
• 서비스 개발을 경험하신 분
• SQL이 가능하신 분
• 컴퓨터 관련 전공하신 분",10
44,백엔드 개발자,텍스트웨이,"•  Role: 
 - Backend implementation
 - 프론트엔드 동료들과의 협업","• RESTful API에 대한 이해와 구현 경험
• RDBMS, MemoryCache에 대한 이해도 보유","• 스타트업 환경에 대한 이해가 있는 분
• 맡은 업무를 끈기 있게 해나가는 분
• 책임감과 다른 사람에 대한 존중을 가진 분
• 다양한 프로젝트 경험(유사 프로젝트 우대)",2
45,"백엔드(Python,Kotlin) 개발자 (1년 이상)",피플펀드컴퍼니(PeopleFundCompany),"• 최고의 금융 경험을 제공하기 위한 제품 사용 여정을 개발하고 개선합니다.
• 도메인(e.g. 대출, 투자) 간 독립적이고 Lean한 개발을 위해 Microservice 아키텍처로 개발 및 서비스를 합니다.
• 매출에 직결되는 기능 개발과 금융의 기초를 쌓아가는 코어 기능 개발을 함께 풀어갑니다.
• 서비스의 전체 흐름이 사람 없이, 빠르게 이루어질 수 있도록 프로세스를 설계하고 자동화하는 역할을 합니다.
• 100% AWS 클라우드 환경에서 다양한 서비스를 활용하여 금융 아키텍처의 기준을 만들어갑니다.
• 엄격한 정확성 및 확장성이 요구되는 제품 기능들에 대해 구축, 테스트, 배포까지 담당합니다.","• Web Framework(Django, Spring Boot 등)를 이용해서 Web Application 개발/운영을 1년 이상 해본 분
• 여신 흐름(대출, 투자, 상환)에 대해 관심이 있고, 해당 시장의 문제를 해결하는 데에 관심이 있으신 분
• 유저가 겪는 문제에 대해 기술 기반 해결책을 제시함으로써 고객 경험을 개선할 수 있는 분
• 담당한 서비스에 대해 오너쉽을 가지고 있는 분
• 서비스에 적합한 아키텍처를 끊임없이 고민할 수 있는 분
• RDMS 및 Transaction에 대한 이해가 있는 분
• REST API 디자인에 대한 이해가 있는 분","• Microservice 아키텍처를 효율적으로 운영해본 경험이 있는 분
• Jenkins, Docker 와 같은 DevOps 중심 기술 사용 경험이 있는 분
• 외부 서비스와 연계를 통해 대용량 트래픽에 대한 처리 및 성능 개선 경험을 보유한 분",285
46,서버 개발 (백엔드),스왈라비,"• AWS 환경의 개발 및 운영
• 서비스 신규 API개발
• 워크온 앱 서버 개발 및 운영
• 버그 원인 파악 및 문제 해결","• 다양한 직군의 사람들과의 원할한 커뮤니케이션이 가능한 분
• Data Structure / Algorithm의 이해가 있는 분
• OOP(Object Oriented Programming)에 대한 이해가 있는 분
• Java, Spring에 대한 경험이 있는 분
• Linux OS 에 대한 기본 지식이 있는 분
• Git 기반 협업 경험이 있는 분
• 인프라 : AWS, EC2, RDS, S3, GCP Infra","• AWS를 활용한 개발 환경 인프라 구축 및 운영 경험이 있는 분
• Java/Spring Boot 환경에서의 개발 경험이 있는 분
• DB 쿼리 작성 및 개선이 가능한 분
• CI/CD 와 DevOps에 관심 있는 분
• 빅데이터 분석 경험이 있거나 관심이 있는 분
• 트래픽 많은 서비스 개발, 운영, 개선 경험 있는 분
• 컴퓨터공학 관련 학위 소지자
• 애자일 프로세스에 대한 경험",10
47,백엔드 개발자 (신입~4년 이하),앵커스,"• 국내외 고객사 Web site 구축 및 운영
• Digital Service 개발","• 신입 및 관련 경력 4년 이하
• Java / Spring Framework 개발 가능자
• DBMS, Data Structure 설계 경험자","• 프로젝트 팀원 및 고객과의 원활한 커뮤니케이션 가능자
• Git 환경 개발 경험자
• CI/CD 사용 경험자
• 정보처리기사 보유자",9
48,백엔드 개발자,스카이링크,"- 웹 기반 SaaS 백엔드 개발 ( Node.js, Typescript, express, AWS Lambda )
- 백엔드 기능 개발
- 백엔드 성능 개선","- 백엔드 프레임워크 (express 등등) 경험해 보신분
- Typescript 사용 경험이 있으신분
- AWS 로 인프라 관리 경험이 있으신분
- Git 프로젝트 관리 경험이 있으신분","- 직접 스스로 아이템을 선정하고 시도해 보신 분
- 디자이너와 함께 소통하면서 서비스를 개발 및 릴리즈 해 보신 분
- 도전적이고 새로운 것을 배우는데 희열을 느끼시는분
- 주어진 일만 하기보다는 스스로 일을 결정하고 이를 진행하는 것을 좋아하시는 분
( ※ 우대사항은 절대 필수가 아닙니다. 새롭게 배우고 성장하실 분이라면 매우 환영합니다! )
( 네이버 개발자 출신 풀스택 대표가 적극 멘토링 해 드립니다 )",52
49,백엔드 개발자,씨디알아이(CDRI),"• certicos 신규 웹 / 앱 서비스 백엔드 개발
• 화장품 인증 B2B 서비스 고도화 개발, 운영
• 제조사/원료사 B2B 서비스 고도화 개발, 운영","• 상용화된 웹 / 앱 서비스 백엔드 개발 경험이 있으신 분 
• Java Springboot Framework을 사용한 개발 경험이 풍부하신 분
• MySQL, MariaDB 사용 경험이 있으신 분
• 새로운 기술에 적극적이고 능동적인 분
• 협업에 적극적이고, 커뮤니케이션을 유연하게 잘 하시는 분","• AWS등 Cloud 기반 서비스 운영 경험 있으신 분
• Redis, MongoDB등 NoSQL 사용 경험
• 데이터베이스 모델링 & 쿼리 튜닝이 가능하신 분
• 대용량 데이터 분석 경험이 있으신 분
• 변화하는 상황 속에서 유연하고 능동적으로 
  문제를 해결할 수 있는 분
• 서비스의 초기 설계부터 개발, 출시, 운영의 경험이 있으신 분",3
50,백엔드 엔지니어 주니어 (어드민),발란(BALAAN),"• 어드민 백엔드 및 프론트엔드 개발 및 운영
• 새로운 기능 및 기존 기능 유지 보수
• 필요한 내, 외부의 API(물류, 상품, 주문) 연동 및 유지 보수
• 글로벌 버전의 새로운 기능 개발 및 기존 기능 컨버팅
• 기존 코드 리팩토링 통합 및 문서화

[기본적인 서버 및 데이터 관리]
• AWS AMI, CentOS 등의 Linux 기반 시스템
• MariaDB, MongoDB, Redis, ElasticSearch

[BALAAN HUB 화면 및 로직 개발]
• bootstrap-vue + Vue.js 템플릿을 이용한 SPA 개발
• Node.js express를 이용한 백엔드 개발

[BALAAN HUB 및 파트너 API 로직 개발]
• Node.js express + apidoc 을 이용한 API 개발 및 문서 제공

[큐, 이미지처리기, 로그처리기, 모니터링 시스템, 확장 프로그램 관리]
• Node.js BeeQueue, RedisQueue
• sharp, imagemagick + lambda 로 구성된 이미지 처리기
• logstash, 자체 로그 처리 툴을 통해 elasticsearch로 로그데이터 수집

[기술스택]
• 발란몰
    - 프론트 : plain css&jquery, ejs
    - 백엔드 : Node.js 14, MongoDB, Redis, MariaDB, AWS S3
• 백오피스 : Node.js 14, Vue.js, Bootstrap-Vue, Nuxt.js, MongoDB, Redis, MariaDB, AWS S3
• 검색엔진 : Elasticsearch
• 분석 : Google Analytics
• 코드관리 : Github, BitBucket
• IDE : WebStorm, PHPStorm, Intellij IDEA, PyCharm
• Tools: NoSQL Booster, Heidisql, Xshell, WinMerge, Medis, Postman
• 커뮤니케이션 : Slack, Notion, Confluence, Jira, 서비스데스크
• 모니터링 : CloudWatch, Opsnow, 자체 모니터링 툴","• Node.js 백엔드 개발 및 운영 경험 (Node.js 14.x ~ 16.x, pm2)
• AWS의 다양한 서비스 (ec2, s3, cloudfront, rds 등) 사용 경험
• Linux 기본적인 관리 (기본 명령어, 쉘 스크립트 등)
• Git을 통한 협업 경험
• 외부 API 연동 경험 / RESTful 서비스 개발 경험
• html, css, js 등과 템플릿(bootstrap 등)을 이용한 화면 개발 경험
• 서비스의 설계부터 개발, 운영까지 참여한 경험","• 커머스 업계 內 개발 경력
• MySQL DB 설계, 관리 경험자(테이블 설계, 인덱스, 쿼리 튜닝, 백업 및 복구)
• MongoDB 사용 경험
• Front-end framework 개발 경험(Vue.js, nuxt.js)
• Linux, Web Server 관리에 대한 이해, scale out에 대한 이해
• 컴퓨터공학 전공자로서 자료구조, 네트워크, 운영체제, 알고리즘에 대한 이해",22
51,[100억↑투자] 백엔드 개발자,플러그링크,"• 플러그링크 서비스 API 개발 및 고도화
• 충전기 관리툴(CSMS) API 개발 및 고도화
• 데이터/Log 수집 및 관리 인프라 구축 및 개발","• 웹 어플리케이션 개발, 운영 경험자로서 실무 5년차 이상 또는 그에 준하는 역량을 보유하신 분
• Java / Node / Python 등의 다양한 언어중 한가지에 Speciality 역량을 보유하신 분
• 동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분
• 새로운 시도와 실패를 두려워하지 않는 도전적인 정신을 보유하신 분","• AWS 환경에서의 대규모 트래픽이나 대용량 데이터 처리를 위한 시스템 설계 및 개발 경험
• Microservices Architecture 기반의 시스템 개발 경험
• Event Driven Architecture 환경에서 서비스 개발 경험
• NoSQL을 이용하여 개발 경험
• e-Commerce, O2O, OTA 서비스 개발 경험
• 웹/앱 프론트엔드에 대한 기본 지식과 경험
• 새로운 기술에 대해 관심이나 이해도가 높으신 분",1
52,백엔드 엔지니어 (신입 또는 5년 미만),룩코,"업무 배정 
- 룩코는 1개의 B2C 모바일 앱 플랫폼 (에이클로젯) 과 1개의 B2B 솔루션 (룩코 AI) 를 개발, 운영하고 있습니다.
- 엔지니어별 선호도, 팀 내 상황, 과거의 경험 등에 따라 어떤 제품을 개발할지 결정합니다.
- 팀별 이동은 언제든지 열려있습니다.

주요 업무
- Acloset 모바일 플랫폼 또는 룩코 AI B2B 솔루션 시스템의 Golang 기반 백엔드 시스템 개발, 운영 및 개선
- 요구사항 분석 및 테스트를 통한 RESTful API 구축
- 프로덕트 및 서비스에서의 최대 속도 및 성능을 위한 애플리케이션 최적화
- 보안 및 데이터 보호 구현","- 일반적이지 않은 수준의 열정을 다하여 무엇인가를 성취해본 경험이 있는 분 (업무, 학업, 취미 등) 
- 컴퓨터공학 전공자 (혹은 그에 준하는 지식 보유자) 
- Go 또는 1개 이상의 언어를 활용한 백엔드 개발 역량
- 자기 주도적인 업무 스타일 보유 및 논리적인 의사소통 능력 보유
- 신입 또는 5년 미만의 경력자 (주니어) 

- 해외여행에 결격사유가 없는 분
- 전문연구요원 신규/전직 가능","- 클라우드 환경에서 백엔드 엔지니어링 및 운영 경험
- 쿠버네티스, 도커등 컨테이너 환경의 개발 및 운영 경험",43
53,백엔드 엔지니어,블루밍비트,"• 실시간 뉴스 기반의 서비스를 개발합니다
• RDB, NoSQL 기반 스키마를 설계 및 구현합니다
• REST API를 설계 및 구현합니다
• Legacy 프로젝트를 리팩토링합니다","• Java/Kotlin 을 사용한 Spring/Spring Boot 프레임워크를 이용한 개발 3년 이상이신 분
• RDB (MySQL) 에 대한 깊이 있는 이해와 트러블슈팅 경험이 있으신 분
• 도메인 문제를 해결하는 것에 관심이 많고 이를 실행하시는 분
• 복수의 팀원과 함께 Git 사용 경험이 있으신 분","• MSA 설계/개발 경험이 있으신 분
• AWS 서비스 사용 경험이 있으신 분
• 리눅스 서버 인프라 관리 경험이 있으신 분
• 실시간 데이터 처리 경험이 있으신 분
• 데이터베이스 성능 개선 경험이 있으신 분
• 직군과 관계 없이 어울릴 수 있고, 적극적인 커뮤니케이션 능력과 빠른 실행력을 갖추신 분
• 업무와 관련된 새로운 기술에 관심을 가지고 지속적이고 자율적으로 학습하시는 분",2
54,백엔드 개발자,러너블,"o Java를 사용하여 백엔드 웹 애플리케이션 개발

 o 데이터베이스 설계 및 관리

 o 성능 최적화 및 보안 강화

 o Hybrid 앱 및 기타 웹 어플리케이션 구축

 o 러너블 콘텐트 마켓 구축(웹)

 o 기존 Runable 서비스 시스템 고도화

 o 버그 수정 및 유지보수","o Java 기반 웹 서비스 개발 경험 3년 이상

 o Spring framework / Spring Boot 등의 프레임워크 대한 깊은 이해와 경험

 o 데이터베이스 (MySQL, PostgreSQL, 또는 Oracle 등) 스키마 설계 및 활용 경험

 o Hibernate / JPA 등의 ORM 경험

 o RESTful API 개발 경험

 o Spring Security의 깊은 이해 및 OAuth2, JWT 개발 경험","o 서비스 런칭 경험자

 o Hybrid 웹/앱 구축 경험자

 o 백오피스 구축 경험자

 o PG 서비스 및 PG API 연동 경험

 o 외부 API 연동 및 데이터 처리 경험

 o 클라우드 플랫폼 (AWS, Azure, GCP 등) 경험

 o 마이크로서비스 아키텍처(MSA) 경험

 o DevOps 환경에서의 기본적인 이해 및 경험

 o Docker, Kubernetes 등 컨테이너 관련 기술 이해

 o NoSQL 데이터베이스 (MongoDB, Redis 등) 경험",16
55,Java/Kotlin 백엔드 서버 엔지니어,티비유,"elecvery의 Backend Engineer는 elecvery 서비스를 위한 API 서버 개발과, 비즈니스 확장을 위한 안정적인 Backend 시스템을 구축해 나갑니다.
elecvery 서비스는 Docker/Kubernetes 컨테이너 기반 AWS 인프라에서 Elasticsearch, Redis, Kafka 등의 다양한 컴포넌트를 적용하며, 전기차 및 충전과 관련된 다량의 실시간 데이터 처리를 위한 마이크로서비스 아키텍쳐를 구성하고 있습니다.

(1) JAVA/Koltin Springboot 기반 API 서버 개발
- 전기차 차량 연동, 충전소 정보 제공, 충전 배달 등 EV Mobility를 위한 다양한 비즈니스 피처를 개발하고 고도화합니다.

(2) 실시간 메세징 처리 시스템 개발
- Kafka 및 Spark/Coroutine/RxJava 기반의 스트리밍 데이터 처리 Application 및 시스템을 개발합니다. 내부 서비스 및 외부 데이터에 대한 안정적인 데이터 처리 파이프라인을 구축합니다.","- 최소 2년 이상의 Spring framework 기반 JAVA/Kotlin Backend Engineer로서 근무 경험
- Restful API 백엔드 서버를 개발하고 운영한 경험을 보유한 분
- 컴퓨터 공학 학위, 또는 이에 준하는 경력 보유
- Docker/Kubernetes 기반 컨테이너 환경에서의 백엔드 시스템을 구축하고 운영해본 경험이 있는 분","- 빠르게 성장하는 스타트업 환경에서 Backend 개발자로서 다양한 직군과 협업한 경험이 있는 분을 우대합니다.
- 컨테이너 기반 클라우드 환경 Backend 개발 및 배포에 대한 지식과 경험이 풍부한 분을 우대합니다.
- 서비스 Latency를 최소화 하고, 내부 컴포넌트/로직 처리 장애에 대한 Fallback 처리 로직 설계 경험이 있는 분을 우대합니다.
- 지속적인 Backend 이슈 트래킹, 시스템 문제에 대한 면밀한 관찰력과, 문제를 해결하기 위한 적극적인 커뮤니케이션 역량을 보유한 분을 모십니다.",17
56,백엔드(JAVA) 개발자 (2년 이상),트이다,"• TEUIDA 애플리케이션 서비스 운영에 필요한 API를 개발하고, 유지보수합니다.
• 비즈니스 로직을 기반으로 데이터를 분석하고 설계합니다.
• 서비스 운영에 필요한 Back Office를 개발합니다.","• Spring MVC 기반 API 개발/유지보수 경험 (경력 2년 이상)
• MariaDB, MySQL, PostgreSQL 과 같은 RDBMS를 능숙하게 다를 수 있는 분
• Backend 설계 경험 (API, DB)
• 웹 서비스 개발 환경에 대한 충분한 지식과 경험(Apache, Tomcat, Https 등)
• 원활한 커뮤니케이션이 가능하신 분
• RESTful API 개발 경험
• Git 을 사용한 버전 관리 경험","• Vue.js를 이용한 웹 개발 경험(WEB 개발 경험)
• 글로벌 서비스에 대한 경험이 있으신 분
• Stack Overflow 이용이 가능한 정도의 영어 독해 능력",5
57,Spring 백엔드 개발자,비욘드메디슨,"- 코틀린/스프링 백엔드 개발자 (Kotlin/Spring)
• 백엔드 API 설계 및 개발 총괄
• CI/CD 파이프라인 및 AWS 인프라 구축
• 제품 출시 후 제품 분석 및 개선 기획
• 프로젝트 추진을 위해 문제점 진단 및 정의, 해결 방안 또는 대안 제시

[기술 스택]
• 백엔드
- Kotlin
- Spring Framework(Spring Boot) / Spring Security / JPA
- AWS EC2 / Cognito / RDS(MySQL)
- (Legacy) JavaScript / Firebase

• 모바일 프론트엔드
- Dart / Kotlin / Swift / Rust
- Flutter / BLoC / RxDart
- (Legacy) GetX","• Kotlin 2년 이상 경험 또는 그에 준하는 실력을 갖추신 분
• 객체지향 프로그래밍에 대한 깊은 이해가 있으신 분
• Spring Security, JPA 등 Spring Framework(Spring Boot)에 대한 깊은 이해가 있으신 분
• Restful API 설계, 개발 경험이 있으신 분
• 데이터베이스(MySQL) 설계, 관리 경험이 있으신 분
• Git을 활용한 형상관리 경험이 있으신 분
• 팀원들과의 코드 리뷰 경험이 있으신 분
• 상용 서비스 운영 경험이 있으신 분
• 자기주도적인 문제해결 능력이 있으신 분","• 함수형 프로그래밍에 대한 이해 및 Scala, Clojure 등 사용 경험이 있으신 분
• 동시성 프로그래밍에 대한 이해 및 Golang, Rust 등 사용 경험이 있으신 분
• 반응형 프로그래밍에 대한 이해 및 Spring WebFlux, Coroutine, RxKotlin 등 사용 경험이 있으신 분
• 모바일 네이티브(Kotlin, Swift) 또는 크로스플랫폼(Flutter, React Native) 개발 경험이 있으신 분
• AWS 인프라 구축 경험이 있으신 분
• gRPC, Protobuf 프로토콜 사용 경험이 있으신 분
• 주도적인 테스트코드 작성 경험이 있으신 분
• 인공지능에 대한 관심 및 관련 경험이 있으신 분

[채용 절차]
• 서류전형 ＞ 대면면접 ＞ 과제전형 ＞ 최종합격",7
58,[500억↑투자] 백엔드 엔지니어 [디파이너리],아이지에이웍스(IGAWorks),"- 고객 데이터 플랫폼(CDP)으로서 다양한 1st party 데이터를 적재,처리,표현하기 위한 비지니스 로직 개발
- 대규모 트래픽을 처리하기 위한 아키텍처/인프라 설계 및 로직 개발
- 다양한 시나리오에 대응하기 위한 API 서버 및 로직 개발

- 기술 스택
  : AWS 기반의 다양한 서비스 (ECS, EKS, S3, Athena, Lambda 등)
  : Kotlin, JAVA, C#, etc
- 협업환경
  : 범용(JetBrains License 제공), IDE (무관), Notion, Slack, github","- 컴퓨터공학 전공 혹은 그에 준하는 전문성을 보유하신 분
- Kotlin/Java/C# 등 하나 이상의 프로그래밍 언어에 전문성을 보유하신 분
- AWS, GCP 등 클라우드 기반 서비스 운영 경험이 있으신 분
- OOP, FP, Clean Code, Clean Archtecture, Testing 등 엔지니어링 역량에 관심이 많으신 분
- RESTful API 동작 방식을 이해하고, 서버와의 연동 개발이 가능한 분
- 서비스를 개발하면서 얻게 되는 인사이트를 팀원들에게 공유하며, 끊임없이 기술적 챌린지를 하고 싶은 분
- 성능최적화를 위한 지속적인 노력을 할 수 있는 분","- Microservices Architecture 기반의 시스템 경험이 있으신 분
- ECS, Kubernetes 등 container 환경에서의 데이터 인프라 구축 경험이 있으신 분
- SQL, ORM 활용에 익숙하신 분
- 데이터 워크플로우 구축 및 운영경험이 있으신 분",11
59,웹 개발자 - 백엔드(Backend) Java/Kotlin (신입),유앤아워스,"• 대화형 AI - 분석플랫폼 사용자와 연동되는 모든 내/외부 서비스를 개발 합니다.
• Java/Kotlin/Spring/JPA 기반의 서비스를 개발합니다.
• 기획자, 디자이너 및 프론트엔드 개발자와 협업
• 제품 사용성 개선 및 최적화를 진행합니다. 
• 백엔드 서비스 전반에 걸친 API 설계 및 구현을 담당합니다.","• Java/Kotlin/Spring/JPA 기반의 소프트웨어 개발 경험이 있으신 분을 찾습니다.
• 데이터 구조에 대한 기본적인 지식이 있으신 분을 찾습니다.
• 프로젝트의 한 사이클(서비스 설계부터 구축, 출시까지) 경험에 관심있는 분을 찾습니다.
• 개발 문화에 대해 이해하고 고민해보신 분을 찾습니다.","• 동료들을 배려하고 팀웍을 중요하게 생각하시는 분이면 더욱 좋습니다.
• 대규모 Back Office 개발 경험이 있으신 분이면 더욱 좋습니다.
• 클라우드 환경에서 서비스 개발/운영 경험이 있으신 분이면 더욱 좋습니다.
• 데이터 분석 서비스를 개발하고 운영해본 경험이 있으시면 더욱 좋습니다.",5
60,플랫폼 백엔드 개발자,넷마블,"- 글로벌 환경에서의  인증 서버 개발
- 글로벌 환경에서의 빌링 서버 개발
- 게임 내 프로모션을 위한 다양한 백엔드 서버 개발
- 게임 크래시 분석을 위한 백엔드 서버 개발 
- 게임 테스트 자동화를 위한 백엔드 서버 개발
- CI/CD 기반 시스템 구축","- 3년 이상의 백엔드 개발 경력이 있으신 분
- Spring Boot, Spring Framework 경험 보유하신 분
- Java 8+ , SQL 숙력자
- Database 에 대한 기본지식을 보유하신 분
- 컴퓨터공학에 관한 지식을 갖추신 분
- 기술 트렌드에 지속적 관심이 있으신 분","- 대용량 데이터 수집, 집계 파이프라인 구축 및 운영 경험이 있으신 분
- 대용량 트래픽 기반의 서비스 구축 경험이 있으신 분
- Public Cloud (GCP, AWS)  기반 서비스 구축 및 운영 경험이 있으신 분
- 대규모 시스템의 아키텍쳐 설계 경험이 있으신 분
- 오픈소스에 기여도가 있으신 분 
- MSA 설계 및 운영 경험이 있으신 분
- 컨테이너 기반의 서비스 개발 및 운영 경험이 있으신 분 ( K8S )",46
61,[300억↑투자] 자바 백엔드 엔지니어 (암호화폐 거래 플랫폼),아데나소프트웨어,• 글로벌 암호화폐 거래 플랫폼의 백엔드 시스템 개발 및 서비스 운영,"• 최소 3년 이상의 백엔드 개발 경험을 보유하신 분
• Java 언어에 능숙하신 분
• 실제 고객에게 서비스 되는 Spring Boot 기반 프로젝트 개발/운영 경험이 있으신 분
• RDBMS, NoSQL 데이터베이스 운영 경험이 있으신 분
• Docker 기반 개발 환경에 익숙하신 분
• Git을 통한 협업 및 코드 관리가 능숙하신 분
• 개발, 영업, 기획, 디자인 등 회사의 모든 조직과 원활하게 소통하는 데 어려움이 없으신 분","• 핀테크 회사 경험이 있으신 분
• 대용량 실시간 트래픽 처리를 위한 Java 기반 고성능 서비스 개발 경험이 있으신 분
• Linux 기반 서버 환경에서 서비스 개발 및 운영을 해보신 분
• Kubernetes 기반 MSA 환경에서 백엔드 개발 경험이 있으신 분
• MQ, GRPC 기반의 비동기, 분산 서비스 구축 및 운영 경험이 있으신 분
• Python, Go 기반 서버 개발에 능숙하신 분",41
62,프론트엔드 개발(WemixPlay 백오피스),위메이드(WEMADE),• 프론트엔드 개발(WemixPlay 백오피스),"• TypeScript, React에 대한 이해와 이를 활용한 웹사이트 개발 경험이 있으신 분
• JavaScript, CSS, HTML에 대한 이해가 깊으신 분
• UI/UX에 대한 이해와 관심이 있으신 분
• Git 버전 관리에 익숙하신 분
• 업무관련 이해관계자와 원만한 커뮤니케이션을 통해 요구사항을 이해하고 정리할 수 있는 분","• 3년 이상의 프론트엔드 개발 경력을 보유하신 분
• 백오피스 관련 프로그램 개발 경험이 있으신 분
• Chart, DataGrid 를 활용한 화면 개발 경험이 있으신 분
• Next.js / Typescript 기반의 프로젝트 경험이 있으신 분
• React, Vue, Angular, Svelte 또는 이와 유사한 최신 프론트엔드 프레임워크에 대한 
   경험이 있으신 분
• Figma를 이용한 협업을 경험해보신 분
• 블록체인에 대한 이해가 있으신 분
• web3.js 등 블록체인 SDK를 활용한 개발 경험이 있는 분",4
63,백엔드/데이터 엔지니어,오늘의웹툰,"• '웹툰 메트릭' 및 신규 서비스의 백엔드/데이터 엔지니어를 개발합니다.
• 시계열 분석을 활용한 신규 서비스의 모델링을 개발합니다.","• 2년 이상의 백엔드 개발 또는 모델링 경험
• 대학 수준의 수리통계 및 알고리즘 지식","• 시계열 분석 경험
• ETL 파이프라인의 구성 경험
• 전공 수준의 수리통계 지식",4
64,백엔드 개발자,네오사피엔스(타입캐스트),"• 타입캐스트 백엔드 서비스 고도화
• 타입캐스트 백오피스 개발 (Data pipeline, Admin, Dashboard)","• 파이썬 서버 개발 경험
• 도커에 대한 이해
• GIT에 대한 이해","• 자동화 지향형
• 오픈소스 활동 지향형
• 테스팅을 항상 생각하는 분
• 소프트웨어 개발에 대한 고민이 깊은 분
• 상용화 서비스에 대한 개발 및 운영 경험이 있는 분",13
